3.03467 -0.000434449 0.00108228
3.03467 -0.000434449 0.00108228
3.0364 -0.0008422 0.00288434
3.03911 -0.00121189 0.00391487
3.04256 -0.00162587 0.00403779
3.0464 -0.00207784 0.00311373
3.05025 -0.00253717 0.00108691
3.05367 -0.00296645 -0.00201071
3.05628 -0.00333098 -0.00605851
3.05771 -0.00360054 -0.0108591
3.0577 -0.00375451 -0.0161582
3.05611 -0.00378499 -0.0216703
3.05288 -0.0036984 -0.027109
3.04811 -0.00351483 -0.0322188
3.04196 -0.00326559 -0.0368016
3.03466 -0.00298921 -0.0407376
3.02644 -0.00272667 -0.0439951
3.01748 -0.0025165 -0.0466303
3.00791 -0.00239013 -0.0487759
2.9977 -0.00236754 -0.0506186
2.98668 -0.00245355 -0.0523672
2.9745 -0.00263491 -0.0542128
2.96065 -0.00287951 -0.0562841
2.94446 -0.00313884 -0.058605
2.9251 -0.00335438 -0.0610616
2.90172 -0.0034665 -0.0633889
2.87337 -0.00342127 -0.0651725
2.83909 -0.00317275 -0.0658668
2.79791 -0.00266739 -0.0647937
2.74882 -0.00183848 -0.0611336
2.69084 -0.000584832 -0.0539149
2.62303 0.00126224 -0.0418882
2.54499 0.0037383 -0.0236537
2.45659 0.0068827 0.00239227
2.35951 0.0108329 0.0379535
2.25727 0.015662 0.0843162
2.15525 0.021328 0.142335
2.06161 0.0278198 0.212404
1.98723 0.0351798 0.294448
1.94567 0.0435461 0.388193
1.95314 0.0532382 0.493464
2.02852 0.0648352 0.61043
2.19363 0.0791193 0.739694
2.47342 0.0967353 0.882111
2.89634 0.117425 1.03794
3.49523 0.138791 1.2048
4.3109 0.154765 1.37374
5.40213 0.15414 1.52272
6.87413 0.119137 1.60408
8.98863 0.0211259 1.50138
13.8322 -0.248622 0.378957
13.8322 0.751378 0.378957

-8.04327 0.827504 -0.923924
-8.04327 1.8275 -0.923924
-7.55914 1.91868 -1.99391
-7.29694 1.95368 -2.2757
-7.13829 1.97623 -2.20846
-7.05321 1.99369 -2.03253
-7.02477 2.00615 -1.83963
-7.03808 2.01498 -1.65744
-7.08006 2.02011 -1.48665
-7.13716 2.02128 -1.32319
-7.19379 2.01766 -1.1628
-7.23086 2.00839 -1.00331
-7.22686 1.99334 -0.845701
-7.16252 1.9736 -0.693097
-7.02523 1.95089 -0.548524
-6.80969 1.92701 -0.413999
-6.5171 1.90355 -0.290839
-6.15372 1.88187 -0.179953
-5.72947 1.86298 -0.0819035
-5.25653 1.84759 0.00303444
-4.74709 1.83545 0.0747991
-4.21101 1.82586 0.134136
-3.65575 1.81832 0.183086
-3.08684 1.81237 0.223888
-2.50817 1.80762 0.258499
-1.9224 1.80378 0.288438
-1.3313 1.80065 0.314823
-0.736035 1.79811 0.338457
-0.137368 1.79605 0.359914
0.464224 1.79441 0.379613
1.06845 1.79315 0.397868
1.67514 1.79222 0.414916
2.28423 1.79161 0.430946
2.8957 1.7913 0.446111
3.5096 1.79125 0.460535
4.126 1.79147 0.474323
4.745 1.79192 0.487565
5.36669 1.7926 0.500341
5.99122 1.79349 0.512721
6.6187 1.79457 0.524766
7.24929 1.79582 0.536537
7.88311 1.79724 0.548086
8.52031 1.79881 0.559464
9.16102 1.8005 0.570714
9.80536 1.80231 0.581867
10.4534 1.80422 0.592893
11.1054 1.8062 0.603541
11.761 1.80846 0.612344
12.4223 1.80932 0.613356
13.0743 1.82076 0.569431
13.8322 1.75138 0.378957
13.8322 0.751378 0.378957

3.58148 0.000426982 -0.0012498
3.58148 0.000426982 -0.0012498
3.57404 -0.00170921 -0.000632574
3.56611 -0.00371539 0.00521655
3.55916 -0.00520814 0.0147946
3.55431 -0.00634755 0.0272056
3.55221 -0.00736968 0.0418946
3.55372 -0.00839689 0.0586224
3.56006 -0.00942474 0.0771926
3.57286 -0.0103558 0.09725
3.59399 -0.011039 0.118162
3.62532 -0.0112991 0.138978
3.66844 -0.0109568 0.158448
3.72443 -0.00984618 0.175076
3.7935 -0.0078321 0.1872
3.87477 -0.00482581 0.193093
3.96609 -0.000785138 0.19106
4.06391 0.00426649 0.179536
4.1633 0.0101844 0.157216
4.25802 0.0167074 0.123206
4.34082 0.0234714 0.0771644
4.40403 0.0300163 0.0192684
4.43923 0.0357563 -0.0492348
4.43958 0.0406152 -0.126049
4.40091 0.0443395 -0.208778
4.32059 0.0468216 -0.295222
4.19748 0.048019 -0.382974
4.03283 0.0481668 -0.470552
3.82728 0.0472039 -0.555273
3.58557 0.0458668 -0.638272
3.30697 0.0435211 -0.714389
